SeasonID,Player,Season,Age,Tm,Lg,Pos,G,GS,MPG,FG/G,FGA/G,FG%,3P/G,3PA/G,3P%,2P/G,2PA/G,2P%,eFG%,FT/G,FTA/G,FT%,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PlayerID,Hall of Fame,All Star
0,Alaa Abdelnaby,1990-91,22,POR,NBA,PF,43,0,6.7,1.3,2.7,0.474,0,0,0,1.3,2.7,0.474,0.474,0.6,1,0.568,0.6,1.4,2.1,0.3,0.1,0.3,0.5,0.9,3.1,13.1,0.499,0,0.379,10.4,23.4,17,5.8,0.7,2.5,14,22.1,0,0.5,0.5,0.079,-4.2,-0.7,-5,-0.2,0,0,0
43,Mahmoud Abdul-Rauf,1990-91,21,DEN,NBA,PG,67,19,22.5,6.2,15.1,0.413,0.4,1.5,0.24,5.9,13.6,0.432,0.425,1.3,1.5,0.857,0.5,1.3,1.8,3.1,0.8,0.1,1.6,2.2,14.1,12.2,0.448,0.099,0.097,1.9,6,3.8,19.2,1.5,0.1,9.5,27.2,-0.7,-0.3,-1,-0.031,-1.7,-4.4,-6.1,-1.6,3,0,0
52,Tariq Abdul-Wahad,1997-98,23,SAC,NBA,SG,59,16,16.3,2.4,6.1,0.403,0.1,0.3,0.211,2.4,5.7,0.414,0.409,1.4,2.1,0.672,0.7,1.2,2,0.9,0.6,0.2,1.1,1.4,6.4,10.1,0.456,0.053,0.35,5,8.6,6.7,8.9,1.9,0.9,13.6,22.1,-0.8,0.6,-0.2,-0.008,-4.2,-1.7,-5.9,-0.9,4,0,0
62,Shareef Abdur-Rahim,1996-97,20,VAN,NBA,PF,80,71,35,6.9,15.2,0.453,0.1,0.3,0.259,6.8,14.8,0.457,0.456,4.8,6.5,0.746,2.7,4.2,6.9,2.2,1,1,2.8,2.5,18.7,17.4,0.518,0.022,0.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,1.7,1.2,2.9,0.049,-0.8,-1.2,-2,0,5,0,1
88,Alex Abrines,2016-17,23,OKC,NBA,SG,66,6,15.5,1.9,5,0.391,1.3,3.6,0.372,0.6,1.3,0.443,0.528,0.7,0.7,0.898,0.2,1,1.2,0.6,0.5,0.1,0.5,1.7,5.9,9.9,0.558,0.731,0.15,1.6,7,4.3,5.5,1.7,0.6,8.2,15.8,1.1,0.9,2,0.094,-0.4,-2.3,-2.7,-0.2,9,0,0
89,Alex Acker,2005-06,23,DET,NBA,SG,5,0,7,0.8,3.2,0.25,0.2,1,0.2,0.6,2.2,0.273,0.281,0,0,0,0.2,0.8,1,0.8,0.2,0,0.8,0.8,1.8,-2.4,0.281,0.313,0,3.4,13.7,8.5,17.9,1.6,0,20,27.2,-0.2,0,-0.2,-0.23,-10.4,-1.9,-12.3,-0.1,10,0,0
94,Mark Acres,1987-88,25,BOS,NBA,C,79,5,14.6,1.4,2.6,0.532,0,0,0,1.4,2.6,0.532,0.532,0.9,1.4,0.64,1.3,2.1,3.4,0.5,0.4,0.3,0.7,2.5,3.6,9.3,0.57,0,0.547,11.6,15.9,13.9,4.5,1.2,1.3,17.7,11.4,1.1,1,2.2,0.09,-1,0,-1,0.3,12,0,0
103,Quincy Acy,2012-13,22,TOR,NBA,PF,29,0,11.8,1.4,2.6,0.56,0,0.1,0.5,1.4,2.5,0.562,0.567,1.1,1.3,0.816,1,1.6,2.7,0.4,0.4,0.5,0.6,1.8,4,15.9,0.632,0.027,0.507,10.3,16.6,13.4,5.2,2,3.5,15.6,14.7,0.7,0.4,1.1,0.157,-0.6,1.3,0.7,0.2,14,0,0
143,Hassan Adams,2006-07,22,NJN,NBA,SG,61,8,8.1,1.2,2.2,0.556,0,0,0,1.2,2.2,0.56,0.556,0.4,0.6,0.667,0.6,0.7,1.3,0.2,0.3,0.1,0.4,0.8,2.9,13,0.577,0.007,0.267,8.4,9.9,9.2,4.5,1.8,0.6,12.7,16.3,0.5,0.5,1,0.095,-2.4,-1.2,-3.6,-0.2,18,0,0
145,Jordan Adams,2014-15,20,MEM,NBA,SG,30,0,8.3,1.2,2.9,0.407,0.3,0.8,0.4,0.8,2,0.41,0.465,0.5,0.8,0.609,0.3,0.6,0.9,0.5,0.5,0.2,0.5,0.8,3.1,12.8,0.489,0.291,0.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,0,0.4,0.4,0.073,-1.8,1.2,-0.6,0.1,19,0,0
147,Michael Adams,1985-86,23,SAC,NBA,PG,18,0,7.7,0.9,2.4,0.364,0,0.2,0,0.9,2.3,0.39,0.364,0.4,0.7,0.667,0.1,0.2,0.3,1.2,0.5,0.1,0.6,0.5,2.2,8,0.406,0.068,0.273,1.6,3.2,2.4,20.3,3,0.4,18.2,17.5,-0.2,0.1,-0.1,-0.028,-5.2,-1.9,-7.1,-0.2,20,0,1
158,Steven Adams,2013-14,20,OKC,NBA,C,81,20,14.8,1.1,2.3,0.503,0,0,0,1.1,2.3,0.503,0.503,1,1.7,0.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3,11.2,0.541,0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,0.9,1.9,2.9,0.114,-2.1,2.4,0.3,0.7,21,0,0
162,Rafael Addison,1986-87,22,PHO,NBA,SF,62,12,11.5,2.4,5.3,0.441,0.3,0.8,0.32,2.1,4.5,0.463,0.465,0.8,1,0.797,0.7,1,1.7,0.7,0.4,0.1,0.9,1.2,5.8,11.9,0.5,0.151,0.193,6.6,10.1,8.4,9.1,1.8,0.6,13.1,23.6,-0.1,0.5,0.4,0.024,-2.1,-2.4,-4.4,-0.4,22,0,0
178,Jeff Adrien,2010-11,24,GSW,NBA,PF,23,0,8.5,1,2.3,0.426,0,0,0,1,2.3,0.426,0.426,0.5,0.8,0.579,1,1.5,2.5,0.4,0.2,0.2,0.4,1.2,2.5,11.3,0.457,0,0.352,13,20.7,16.8,7.3,1,1.9,12.6,16.1,0.1,0.1,0.2,0.051,-3.9,-1.2,-5.1,-0.2,24,0,0
185,Arron Afflalo,2007-08,22,DET,NBA,SG,75,9,12.9,1.3,3.2,0.411,0.1,0.6,0.208,1.2,2.6,0.461,0.432,0.9,1.2,0.782,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1.1,3.7,10.2,0.494,0.199,0.361,4.4,12.5,8.4,8.1,1.8,0.7,10.9,15.2,0.5,1.4,1.9,0.092,-2.3,0.6,-1.6,0.1,25,0,0
197,Maurice Ager,2006-07,22,DAL,NBA,SG,32,1,6.7,0.7,2.2,0.314,0.2,0.5,0.333,0.5,1.7,0.309,0.35,0.6,1,0.606,0,0.6,0.7,0.2,0.1,0.1,0.5,0.8,2.2,2.9,0.408,0.214,0.471,0.6,11,5.9,5,1,1.1,15.1,21.7,-0.5,0.2,-0.3,-0.06,-7.5,-1.8,-9.3,-0.4,26,0,0
203,Mark Aguirre,1981-82,22,DAL,NBA,SF,51,20,28.8,7.5,16.1,0.465,0.5,1.4,0.352,7,14.7,0.475,0.48,3.3,4.8,0.68,1.7,3.1,4.9,3.2,0.7,0.4,2.6,3,18.7,17.3,0.514,0.087,0.301,6.7,12.9,9.7,18.6,1.2,0.9,12.7,29.8,1,0.8,1.9,0.061,1.8,-1.7,0.1,0.8,27,0,1
218,Blake Ahearn,2007-08,23,MIA,NBA,PG,12,0,14.8,1.3,4.8,0.263,0.8,2.8,0.294,0.4,1.9,0.217,0.351,2.5,2.6,0.968,0.1,1.5,1.6,1.6,0.5,0,1.3,1.7,5.8,9,0.495,0.596,0.544,0.7,12.4,6.4,17.2,1.8,0,18.5,23.2,-0.1,0.1,0,-0.006,-2.8,-2.8,-5.6,-0.2,28,0,0
221,Danny Ainge,1981-82,22,BOS,NBA,SG,53,1,10.6,1.5,4.2,0.357,0.1,0.3,0.294,1.4,3.8,0.363,0.369,1.1,1.2,0.862,0.5,0.6,1.1,1.6,0.7,0.1,1,1.6,4.1,10.1,0.439,0.077,0.294,5,5.9,5.5,19.7,3.1,0.3,17.5,21.5,-0.3,0.8,0.5,0.042,-2.6,-0.1,-2.6,-0.1,29,0,1
238,Alexis Ajinca,2008-09,20,CHA,NBA,PF,31,4,5.9,0.8,2.2,0.362,0,0.1,0,0.8,2.2,0.373,0.362,0.6,0.9,0.714,0.3,0.7,1,0.1,0.2,0.2,0.4,1.1,2.3,7,0.43,0.029,0.406,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,-0.3,0.3,-0.1,-0.018,-8.1,-1.2,-9.3,-0.3,31,0,0
250,Josh Akognon,2012-13,26,DAL,NBA,PG,3,0,3,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0,0,0,0,0.3,0.3,0.3,0,0,0,1,1.7,15.3,0.625,0.5,0,0,12.1,6.2,19.4,0,0,0,20.3,0,0,0,0.196,4.7,-4.9,-0.2,0,33,0,0
251,Solomon Alabi,2010-11,22,TOR,NBA,C,12,0,4.9,0.3,1.3,0.2,0,0,0,0.3,1.3,0.2,0.2,0,0.2,0,0.6,0.6,1.2,0.2,0.2,0.2,0.3,0.4,0.5,2,0.189,0,0.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,-0.2,0,-0.2,-0.142,-8.2,0,-8.2,-0.1,34,0,0
253,Mark Alarie,1986-87,23,DEN,NBA,PF,64,25,17.3,3.4,6.9,0.49,0,0.1,0.222,3.4,6.8,0.495,0.492,1,1.6,0.663,1.1,2.2,3.3,1.2,0.3,0.4,0.9,2.2,7.9,12.5,0.516,0.02,0.228,6.5,14.2,10.1,8.9,0.9,1.4,10.3,18.8,0.7,0.7,1.5,0.064,-2.1,-1.5,-3.6,-0.4,35,0,0
260,Furkan Aldemir,2014-15,23,PHI,NBA,PF,41,9,13.2,1,1.9,0.513,0,0.1,0,1,1.8,0.548,0.513,0.3,0.7,0.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3,12,0.517,0.064,0.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,0.7,0.7,1.4,0.122,-2.7,2,-0.7,0.2,37,0,0
261,Cole Aldrich,2010-11,22,OKC,NBA,C,18,0,7.9,0.4,0.8,0.533,0,0,0,0.4,0.8,0.533,0.533,0.1,0.2,0.5,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,1,7,0.537,0,0.267,11.1,17.5,14.4,4,1.8,3.6,32.3,7.9,0,0.2,0.2,0.066,-3.4,2.6,-0.8,0,38,0,0
270,LaMarcus Aldridge,2006-07,21,POR,NBA,C,63,22,22.1,3.8,7.6,0.503,0,0,0,3.8,7.6,0.505,0.503,1.3,1.8,0.722,2.3,2.7,5,0.4,0.3,1.2,0.7,3,9,17.1,0.533,0.004,0.24,12.6,15.3,13.9,3.2,0.9,4.2,7.5,19.3,2.5,1,3.4,0.118,-0.3,-0.6,-0.9,0.4,39,0,1
281,Chuck Aleksinas,1984-85,25,GSW,NBA,C,74,4,15.1,2.2,4.6,0.478,0,0,0,2.2,4.5,0.479,0.478,0.7,1,0.733,1.2,2.5,3.6,0.5,0.2,0.2,1,2.3,5.1,9.1,0.509,0.003,0.223,8.1,20.1,13.6,4.4,0.6,0.8,16.3,15.6,0.1,0.4,0.4,0.019,-3.9,-2,-5.9,-1.1,40,0,0
